repo_name,repo_description,repo_language,repo_created_at,repo_updated_at
smoke-dynamodb,"SmokeDynamoDB is a library to make it easy to use DynamoDB from Swift-based applications, with a particular focus on usage with polymorphic database tables (tables that do not have a single schema for all rows).",Swift,2018-11-16T19:31:34Z,2024-07-18T21:24:13Z
smoke-framework,A light-weight server-side service framework written in the Swift programming language.,Swift,2018-10-02T17:58:20Z,2024-09-29T20:15:17Z
smoke-framework-application-generate,Code generator to generate SmokeFramework-based applications from service models.,Swift,2019-02-15T00:44:19Z,2024-07-13T00:52:35Z
smoke-framework-examples,Sample applications showing the usage of the SmokeFramework and related libraries.,Swift,2019-02-19T02:36:59Z,2024-09-11T16:47:21Z
smoke-http,Specialised HTTP Client for service operations abstracted from the HTTP protocol.,Swift,2018-11-01T22:12:56Z,2024-09-11T16:42:36Z
sparse-vqvae,Experimental implementation for a sparse-dictionary based version of the VQ-VAE2 paper,Python,2020-11-17T10:26:05Z,2024-09-22T13:03:49Z
ss-aga-kgc,,Python,2022-05-13T16:35:55Z,2024-09-16T07:25:38Z
sto-transformer,,Python,2022-10-27T09:12:27Z,2024-08-12T13:51:00Z
style-dictionary,A build system for creating cross-platform styles.,JavaScript,2016-11-29T20:53:51Z,2024-10-13T20:56:39Z
supply-chain-simulation-environment,,Python,2021-06-22T17:18:09Z,2024-10-10T02:34:42Z
tiny-attribution-generator,A small tool and library to create attribution notices from various formats,TypeScript,2018-08-06T15:07:34Z,2023-07-15T20:02:15Z
trans-encoder,Trans-Encoder: Unsupervised sentence-pair modelling through self- and mutual-distillations,Python,2021-11-24T11:44:32Z,2024-09-24T10:03:38Z
user-satisfaction-modeling,"Codebase for the paper ""Schema-guided User Satisfaction Modeling for Task-oriented Dialogues""",Python,2023-05-09T09:52:46Z,2024-10-09T14:18:49Z
workspace-resolver,Utility for development on multiple library packages in a workspace,JavaScript,2020-06-13T06:48:39Z,2024-08-10T09:58:46Z
ws-vae,,Python,2024-02-12T10:03:32Z,2024-02-12T10:14:24Z
xfer,Transfer Learning library for Deep Neural Networks.,Python,2018-06-29T18:37:36Z,2024-09-17T15:30:35Z
zeek-plugin-bacnet,Zeek network security monitor plugin that enables parsing of the BACnet standard building controls protocol,Zeek,2019-10-04T17:54:21Z,2024-10-12T09:44:39Z
zeek-plugin-enip,Zeek network security monitor plugin that enables parsing of the Ethernet/IP and Common Industrial Protocol standards,Zeek,2019-10-04T17:56:40Z,2024-10-12T09:44:17Z
zeek-plugin-profinet,Zeek network security monitor plugin that enables parsing of the Profinet protocol,Zeek,2019-10-04T17:59:03Z,2024-10-12T09:44:43Z
zeek-plugin-s7comm,Zeek network security monitor plugin that enables parsing of the S7 protocol,Zeek,2019-10-04T18:00:25Z,2024-10-12T09:44:31Z
zeek-plugin-tds,Zeek network security monitor plugin that enables parsing of the Tabular Data Stream (TDS) protocol,Zeek,2019-10-04T18:01:45Z,2024-10-12T09:44:12Z
zero-shot-rlhr,,Python,2021-04-26T04:49:11Z,2024-09-30T15:45:39Z
